,ecpm_value,date,app,country,ecpm_type
0,0.7572823461115864,2021-06-04 13:30:27.883259,awesome app A,US,banner
1,0.7888310432180156,2021-06-05 13:30:27.883259,awesome app A,US,banner
2,0.7964419244242865,2021-06-06 13:30:27.883259,awesome app A,US,banner
3,0.8077733538961392,2021-06-07 13:30:27.883259,awesome app A,US,banner
4,0.7475245418738078,2021-06-08 13:30:27.883259,awesome app A,US,banner
5,0.81539073261501,2021-06-09 13:30:27.883259,awesome app A,US,banner
6,0.7996735706061247,2021-06-10 13:30:27.883259,awesome app A,US,banner
7,0.7837073214548425,2021-06-11 13:30:27.883259,awesome app A,US,banner
8,0.8086765354028558,2021-06-12 13:30:27.883259,awesome app A,US,banner
9,0.7903092532310394,2021-06-13 13:30:27.883259,awesome app A,US,banner
10,0.8054217796972803,2021-06-14 13:30:27.883259,awesome app A,US,banner
11,0.7469893051484453,2021-06-15 13:30:27.883259,awesome app A,US,banner
12,0.7666063448172734,2021-06-16 13:30:27.883259,awesome app A,US,banner
13,0.7770574591985884,2021-06-17 13:30:27.883259,awesome app A,US,banner
14,0.7999209963228929,2021-06-18 13:30:27.883259,awesome app A,US,banner
15,0.7953709036463872,2021-06-19 13:30:27.883259,awesome app A,US,banner
16,0.7714822895830019,2021-06-20 13:30:27.883259,awesome app A,US,banner
17,0.8177208937743932,2021-06-21 13:30:27.883259,awesome app A,US,banner
18,0.7870115332633636,2021-06-22 13:30:27.883259,awesome app A,US,banner
19,0.8005440035117033,2021-06-23 13:30:27.883259,awesome app A,US,banner
20,0.790113890795004,2021-06-24 13:30:27.883259,awesome app A,US,banner
21,0.7696626295229689,2021-06-25 13:30:27.883259,awesome app A,US,banner
22,0.7532856108467675,2021-06-26 13:30:27.883259,awesome app A,US,banner
23,0.7525781339972034,2021-06-27 13:30:27.883259,awesome app A,US,banner
24,0.7466872249683644,2021-06-28 13:30:27.883259,awesome app A,US,banner
25,0.7567169847549314,2021-06-29 13:30:27.883259,awesome app A,US,banner
26,0.7633274700340401,2021-06-30 13:30:27.883259,awesome app A,US,banner
27,0.7779821889975839,2021-07-01 13:30:27.883259,awesome app A,US,banner
28,0.7625788229027953,2021-07-02 13:30:27.883259,awesome app A,US,banner
29,0.8124511080970189,2021-07-03 13:30:27.883259,awesome app A,US,banner
30,0.7475480456010103,2021-07-04 13:30:27.883259,awesome app A,US,banner
31,0.8160958715035508,2021-07-05 13:30:27.883259,awesome app A,US,banner
32,0.7967408824110938,2021-07-06 13:30:27.883259,awesome app A,US,banner
33,0.7542678430052474,2021-07-07 13:30:27.883259,awesome app A,US,banner
34,0.7894739515403336,2021-07-08 13:30:27.883259,awesome app A,US,banner
35,0.8153214340831114,2021-07-09 13:30:27.883259,awesome app A,US,banner
36,0.7806801731297965,2021-07-10 13:30:27.883259,awesome app A,US,banner
37,0.7928612873342382,2021-07-11 13:30:27.883259,awesome app A,US,banner
38,0.7479435140354325,2021-07-12 13:30:27.883259,awesome app A,US,banner
39,0.8127664095440552,2021-07-13 13:30:27.883259,awesome app A,US,banner
40,0.79814760014669,2021-07-14 13:30:27.883259,awesome app A,US,banner
41,0.7759940118285019,2021-07-15 13:30:27.883259,awesome app A,US,banner
42,0.8002027561441171,2021-07-16 13:30:27.883259,awesome app A,US,banner
43,0.745838918324541,2021-07-17 13:30:27.883259,awesome app A,US,banner
44,0.7943806796450678,2021-07-18 13:30:27.883259,awesome app A,US,banner
45,0.7791142283609757,2021-07-19 13:30:27.883259,awesome app A,US,banner
46,0.7878518927422596,2021-07-20 13:30:27.883259,awesome app A,US,banner
47,0.8022731570274205,2021-07-21 13:30:27.883259,awesome app A,US,banner
48,0.7719884896482195,2021-07-22 13:30:27.883259,awesome app A,US,banner
49,0.771375679466751,2021-07-23 13:30:27.883259,awesome app A,US,banner
50,0.7820013244761006,2021-07-24 13:30:27.883259,awesome app A,US,banner
51,0.811362783286483,2021-07-25 13:30:27.883259,awesome app A,US,banner
52,0.7696375002151632,2021-07-26 13:30:27.883259,awesome app A,US,banner
53,0.7511518284615366,2021-07-27 13:30:27.883259,awesome app A,US,banner
54,0.7949236250461522,2021-07-28 13:30:27.883259,awesome app A,US,banner
55,0.7573657569783775,2021-07-29 13:30:27.883259,awesome app A,US,banner
56,0.7685501421944683,2021-07-30 13:30:27.883259,awesome app A,US,banner
